Date,County,WaterTemp,AirTemp,RainFall24h,RainFall3d,RainLastWeek,DayofYear,MaxTemp1d,MaxTemp4d,MaxTemp7d,SeasonalPopulation
2020-03-09,Bay,70.35416666666666,76.85,0.0006,0.0031000000000000003,0.0066,71,74.33,89.66,79.54,189487.0
2020-03-10,Bay,71.54583333333332,79.71,0.0007,0.0022,0.006199999999999999,72,76.85,77.79,85.95,189487.0
2020-03-11,Bay,72.94166666666666,83.06,0.0002,0.0015,0.0055,73,79.71,70.06,89.69,189487.0
2020-03-12,Bay,73.83749999999999,85.21,0.0002,0.0011,0.0051,74,83.06,74.33,89.66,189487.0
2020-03-13,Bay,74.69583333333333,87.27,0.0003,0.0007,0.0045,75,85.21,76.85,77.79,189487.0
2020-03-14,Bay,74.9875,87.97,0.0001,0.0006,0.003,76,87.27,79.71,70.06,189487.0
2020-03-15,Bay,75.26249999999999,88.63,0.0003,0.0006999999999999999,0.0024,77,87.97,83.06,74.33,189487.0
2020-03-16,Bay,75.775,89.86,0.0001,0.0005,0.0019,78,88.63,85.21,76.85,189487.0
2020-03-09,Brevard,69.27083333333333,74.25,0.0009,0.0046,0.0094,71,72.03,90.56,76.71,610522.0
2020-03-10,Brevard,70.0625,76.15,0.001,0.0028,0.0087,72,74.25,77.48,85.42,610522.0
2020-03-11,Brevard,70.425,77.02,0.0006,0.0025,0.008299999999999998,73,76.15,67.81,88.05,610522.0
2020-03-12,Brevard,71.625,79.9,0.0003,0.0019,0.008,74,77.02,72.03,90.56,610522.0
2020-03-13,Brevard,72.9375,83.05,0.0001,0.001,0.0066,75,79.9,74.25,77.48,610522.0
2020-03-14,Brevard,72.78333333333333,82.68,0.0001,0.0005,0.0039,76,83.05,76.15,67.81,610522.0
2020-03-15,Brevard,72.57916666666667,82.19,0.0001,0.00030000000000000003,0.0031000000000000003,77,82.68,77.02,72.03,610522.0
2020-03-16,Brevard,72.51666666666667,82.04,0.0001,0.00030000000000000003,0.0023,78,82.19,79.9,74.25,610522.0
2020-03-09,Broward,69.8,75.52,0.0006,0.0045000000000000005,0.0084,71,74.18,92.25,78.28,1873114.0
2020-03-10,Broward,71.02499999999999,78.46,0.0014,0.0029,0.0087,72,75.52,84.59,83.43,1873114.0
2020-03-11,Broward,71.50833333333333,79.62,0.0034,0.005399999999999999,0.0111,73,78.46,73.46,89.21,1873114.0
2020-03-12,Broward,73.22083333333333,83.73,0.0029,0.0077,0.013499999999999998,74,79.62,74.18,92.25,1873114.0
2020-03-13,Broward,74.09166666666667,85.82,0.0005,0.0068,0.0127,75,83.73,75.52,84.59,1873114.0
2020-03-14,Broward,74.34166666666667,86.42,0.0001,0.0035,0.0098,76,85.82,78.46,73.46,1873114.0
2020-03-15,Broward,74.11666666666666,85.88,0.0006,0.0012,0.0095,77,86.42,79.62,74.18,1873114.0
2020-03-16,Broward,74.37916666666666,86.51,0.0006,0.0013,0.0095,78,85.88,83.73,75.52,1873114.0
2020-03-09,Charlotte,70.23333333333333,76.56,0.0006,0.0029,0.0066,71,75.53,86.42,80.09,178329.0
2020-03-10,Charlotte,72.19166666666666,81.26,0.0008,0.0023,0.0063,72,76.56,79.14,82.83,178329.0
2020-03-11,Charlotte,73.15,83.56,0.0007,0.0021,0.006,73,81.26,73.16,88.03,178329.0
2020-03-12,Charlotte,74.40416666666667,86.57,0.0003,0.0018,0.0057,74,83.56,75.53,86.42,178329.0
2020-03-13,Charlotte,74.9375,87.85,0.0001,0.0010999999999999998,0.0048,75,86.57,76.56,79.14,178329.0
2020-03-14,Charlotte,75.27083333333334,88.65,0.0001,0.0005,0.0035,76,87.85,81.26,73.16,178329.0
2020-03-15,Charlotte,75.4625,89.11,0.0001,0.00030000000000000003,0.0027,77,88.65,83.56,75.53,178329.0
2020-03-16,Charlotte,75.4625,89.11,0.0001,0.00030000000000000003,0.0022,78,89.11,86.57,76.56,178329.0
